Timestamp,ElectricPower,rad,temp,zenith,azimuth,ghi
2023-04-01 10:15:00+00:00,395.0,806.2666666666667,39.233333333333334,44.00938775823051,151.30236862220664,681.0119020288766
2023-04-01 10:30:00+00:00,369.2,797.8666666666667,39.516666666666666,42.839235625177714,156.4701419115064,697.4751939307324
2023-04-01 10:45:00+00:00,420.4,803.6,39.916666666666664,41.89237197039223,161.83954556562878,710.5454353707382
2023-04-01 11:00:00+00:00,430.2,905.0666666666667,42.916666666666664,41.18506291327705,167.3778306510494,720.1592163722263
2023-04-01 11:15:00+00:00,459.6,931.8,44.13333333333333,40.730416838326,173.0411555206266,726.2702349493366
2023-04-01 11:30:00+00:00,444.8,956.8666666666667,46.25,40.53732380710026,178.77659908231635,728.8492760847472
2023-04-01 11:45:00+00:00,467.6,974.2,50.88333333333333,40.60966493110642,184.52565912699637,727.8842018317841
2023-04-01 12:00:00+00:00,445.0,986.6666666666666,54.6,40.945948228015475,190.22875560295233,723.3799494324733
2023-04-01 12:15:00+00:00,503.7857142857143,995.9333333333333,53.516666666666666,41.53944882536588,195.8299378745496,715.3585293040194
2023-04-01 12:30:00+00:00,454.0,999.4,50.516666666666666,42.37882322446569,201.28092031654018,703.8590251738539
2023-04-01 12:45:00+00:00,450.6,1000.6666666666666,51.016666666666666,43.44907056145397,206.54379811617994,688.9376069409155
2023-04-01 13:00:00+00:00,469.2,996.6,51.18333333333333,44.7326625549682,211.5921929689053,670.667562441593
2023-04-01 13:15:00+00:00,444.0,988.6666666666666,49.55,46.210665295551905,216.41096849856362,649.1393806090065
2023-04-01 13:30:00+00:00,460.6,976.0666666666667,47.46666666666667,47.86372082400792,220.9949182261641,624.4609200730263
2023-04-01 13:45:00+00:00,430.6,956.8666666666667,47.233333333333334,49.67281742984974,225.34690332072657,596.7577039411308
2023-04-01 14:00:00+00:00,439.6,932.3333333333334,46.03333333333333,51.61983031166397,229.47584821986916,566.1734368758363
